"Date(UTC)","BlockNumber","UnixTimeStamp","Value","ClientVersion"
"1/23/2019","7111289","1548202180","2193058432771","1.8.21"
"1/24/2019","7116274","1548288519","2195412189590","1.8.21"
"1/25/2019","7121375","1548374948","2199855760616","1.8.21"
"1/26/2019","7126462","1548461373","2203313506666","1.8.21"
"1/27/2019","7131517","1548547768","2207856465072","1.8.21"
"1/28/2019","7136541","1548634205","2210160197777","1.8.21"
"1/29/2019","7141417","1548720601","2214687928594","1.8.21"
"1/30/2019","7146292","1548806992","2219338047141","1.8.21"
"1/31/2019","7151230","1548893366","2221551277643","1.8.21"
"2/1/2019","7156164","1548979719","2226133258414","1.8.21"
"2/2/2019","7161012","1549066185","2229660142233","1.8.21"
"2/3/2019","7165949","1549152555","2234198355792","1.8.21"
"2/4/2019","7170805","1549238960","2236356443366","1.8.21"
"2/5/2019","7175752","1549325378","2240039971443","1.8.21"
"2/6/2019","7180654","1549411752","2242286784142","1.8.21"
"2/7/2019","7185533","1549498146","2244613431874","1.8.21"
"2/8/2019","7190465","1549584594","2249281470466","1.8.21"
"2/9/2019","7195382","1549670996","2251984445162","1.8.21"
"2/10/2019","7200281","1549757369","2254229601890","1.8.21"
"2/11/2019","7204582","1549843745","2258879878481","1.8.21"
"2/12/2019","7208771","1549930175","2261216142616","1.8.21"
"2/13/2019","7213043","1550016550","2263499045421","1.8.21"
"2/14/2019","7217203","1550102982","2268009058858","1.8.21"
"2/15/2019","7221377","1550189370","2270263680184","1.8.21"
"2/16/2019","7225536","1550275778","2273510374682","1.8.21"
"2/17/2019","7229750","1550362124","2275734139700","1.8.21"
"2/18/2019","7233897","1550448577","2280406319099","1.8.21"
"2/19/2019","7238097","1550534972","2282726644285","1.8.21"
"2/20/2019","7242392","1550621383","2287252803870","1.8.21"
"2/21/2019","7246851","1550712635","2291665741238","1.8.21"
"2/22/2019","7250875","1550794176","2293914938270","1.8.21"
"2/23/2019","7255115","1550880560","2298091112574","1.8.21"
"2/24/2019","7259468","1550966978","2302810971816","1.8.21"
"2/25/2019","7263727","1551053376","2304955306970","1.8.21"
"2/26/2019","7267963","1551139772","2308830154687","1.8.23"
"2/27/2019","7272243","1551226152","2313442209550","1.8.23"
"2/28/2019","7276521","1551312590","2315592685170","1.8.23"
"3/1/2019","7280899","1551398986","2319370646353","1.8.23"
"3/2/2019","7286903","1551485381","2323086877810","1.8.23"
"3/3/2019","7293291","1551571786","2327539489619","1.8.23"
"3/4/2019","7299682","1551658203","2332055284460","1.8.23"
"3/5/2019","7306064","1551744566","2336514655167","1.8.23"
"3/6/2019","7312492","1551831004","2340235789174","1.8.23"
"3/7/2019","7318905","1551917380","2344780697503","1.8.23"
"3/8/2019","7325329","1552003799","2349262356041","1.8.23"
"3/9/2019","7331716","1552090167","2352704880826","1.8.23"
"3/10/2019","7338106","1552176608","2357186043293","1.8.23"
"3/11/2019","7344614","1552262990","2361759317309","1.8.23"
"3/12/2019","7351005","1552349400","2366308884171","1.8.23"
"3/13/2019","7357449","1552435793","2369571684058","1.8.23"
"3/14/2019","7363849","1552522193","2374088501599","1.8.23"
"3/15/2019","7370286","1552608578","2378543777902","1.8.23"
"3/16/2019","7376696","1552694999","2382612339018","1.8.23"
"3/17/2019","7383216","1552781403","2387132719028","1.8.23"
"3/18/2019","7389628","1552867792","2391591223490","1.8.23"
"3/19/2019","7395988","1552954183","2396073377373","1.8.23"
"3/20/2019","7402401","1553040584","2400523707308","1.8.23"
"3/21/2019","7408882","1553126993","2405007121173","1.8.23"
"3/22/2019","7415252","1553213386","2409525096574","1.8.23"
"3/23/2019","7421669","1553299793","2413296898705","1.8.23"
"3/24/2019","7428093","1553386183","2417703665431","1.8.23"
"3/25/2019","7434529","1553472602","2421878097328","1.8.23"
"3/26/2019","7440956","1553558999","2428702332764","1.8.23"
"3/27/2019","7447300","1553645377","2433206295079","1.8.23"
"3/28/2019","7453766","1553731800","2437690317100","1.8.23"
"3/29/2019","7460155","1553818200","2442028790809","1.8.23"
"3/30/2019","7466508","1553904567","2446492443852","1.8.23"
"3/31/2019","7472888","1553990973","2451056112234","1.8.23"
"4/1/2019","7479301","1554077379","2455334383379","1.8.23"
"4/2/2019","7485716","1554163786","2462126145959","1.8.23"
"4/3/2019","7492076","1554250200","2466572661797","1.8.23"
"4/4/2019","7498412","1554336567","2473252029399","1.8.23"
"4/5/2019","7504810","1554422979","2477627186520","1.8.23"
"4/6/2019","7511241","1554509381","2480379986542","1.8.23"
"4/7/2019","7517709","1554595797","2484880366012","1.8.23"
"4/8/2019","7524167","1554682172","2489254636575","1.8.23"
"4/9/2019","7530613","1554768593","2495009023343","1.8.23"
"4/10/2019","7537034","1554854943","2499507949026","1.8.23"
"4/11/2019","7543494","1554941392","2503909997834","1.8.23"
"4/12/2019","7549877","1555027713","2508797285619","1.8.23"
"4/13/2019","7556312","1555114178","2513204004961","1.8.23"
"4/14/2019","7562793","1555200560","2517851570161","1.8.23"
"4/15/2019","7569206","1555286987","2522195070429","1.8.23"
"4/16/2019","7575652","1555373396","2527345206158","1.8.26"
"4/17/2019","7582054","1555459805","2531839553675","1.8.26"
"4/18/2019","7588436","1555546161","2536304502257","1.8.26"
"4/19/2019","7594860","1555632599","2540710692271","1.8.26"
"4/20/2019","7601290","1555718982","2547256214315","1.8.26"
"4/21/2019","7607670","1555805490","2551631135600","1.8.26"
"4/22/2019","7614122","1555891768","2556049122130","1.8.26"
"4/23/2019","7620549","1555978178","2560503345786","1.8.26"
"4/24/2019","7626867","1556064605","2564964369232","1.8.26"
"4/25/2019","7633247","1556150990","2570727425432","1.8.26"
"4/26/2019","7639719","1556237398","2575273810717","1.8.26"
