"Date(UTC)","Value"
"11/12/2023 10:48:00 AM","163037"
"11/12/2023 10:49:00 AM","163062"
"11/12/2023 10:50:00 AM","163238"
"11/12/2023 10:51:00 AM","163279"
"11/12/2023 10:52:00 AM","163238"
"11/12/2023 10:53:00 AM","163335"
"11/12/2023 10:54:00 AM","163402"
"11/12/2023 10:55:00 AM","163411"
"11/12/2023 10:56:00 AM","163427"
"11/12/2023 10:57:00 AM","163525"
"11/12/2023 10:59:00 AM","163591"
"11/12/2023 11:00:00 AM","163680"
"11/12/2023 11:01:00 AM","163673"
"11/12/2023 11:02:00 AM","163796"
"11/12/2023 11:03:00 AM","164002"
"11/12/2023 11:04:00 AM","163998"
"11/12/2023 11:05:00 AM","163866"
"11/12/2023 11:06:00 AM","163910"
"11/12/2023 11:07:00 AM","163994"
"11/12/2023 11:08:00 AM","164109"
"11/12/2023 11:09:00 AM","164199"
"11/12/2023 11:10:00 AM","164358"
"11/12/2023 11:11:00 AM","164534"
"11/12/2023 11:12:00 AM","164599"
"11/12/2023 11:13:00 AM","164781"
"11/12/2023 11:14:00 AM","164895"
"11/12/2023 11:15:00 AM","165219"
"11/12/2023 11:16:00 AM","165153"
"11/12/2023 11:17:00 AM","165218"
"11/12/2023 11:18:00 AM","165250"
"11/12/2023 11:19:00 AM","165275"
"11/12/2023 11:20:00 AM","165292"
"11/12/2023 11:21:00 AM","165279"
"11/12/2023 11:22:00 AM","165195"
"11/12/2023 11:23:00 AM","165205"
"11/12/2023 11:24:00 AM","165290"
"11/12/2023 11:25:00 AM","165383"
"11/12/2023 11:26:00 AM","165444"
"11/12/2023 11:27:00 AM","165451"
"11/12/2023 11:28:00 AM","165493"
"11/12/2023 11:29:00 AM","165452"
"11/12/2023 11:30:00 AM","165196"
"11/12/2023 11:31:00 AM","165232"
"11/12/2023 11:32:00 AM","165359"
"11/12/2023 11:33:00 AM","165752"
"11/12/2023 11:34:00 AM","165602"
"11/12/2023 11:35:00 AM","165658"
"11/12/2023 11:36:00 AM","165597"
"11/12/2023 11:37:00 AM","165605"
"11/12/2023 11:38:00 AM","165620"
"11/12/2023 11:39:00 AM","166110"
"11/12/2023 11:40:00 AM","166284"
"11/12/2023 11:41:00 AM","166316"
"11/12/2023 11:42:00 AM","166447"
"11/12/2023 11:43:00 AM","166511"
"11/12/2023 11:44:00 AM","166616"
"11/12/2023 11:45:00 AM","166573"
"11/12/2023 11:46:00 AM","166706"
"11/12/2023 11:47:00 AM","166842"
"11/12/2023 11:48:00 AM","166952"
"11/12/2023 11:49:00 AM","167027"
"11/12/2023 11:50:00 AM","167113"
"11/12/2023 11:51:00 AM","167183"
"11/12/2023 11:52:00 AM","167246"
"11/12/2023 11:53:00 AM","167329"
"11/12/2023 11:54:00 AM","167375"
"11/12/2023 11:55:00 AM","167424"
"11/12/2023 11:56:00 AM","167509"
"11/12/2023 11:57:00 AM","167623"
"11/12/2023 11:58:00 AM","167578"
"11/12/2023 11:59:00 AM","167656"
"11/12/2023 12:00:00 PM","167691"
"11/12/2023 12:01:00 PM","167955"
"11/12/2023 12:02:00 PM","168079"
"11/12/2023 12:03:00 PM","168096"
"11/12/2023 12:04:00 PM","168123"
"11/12/2023 12:05:00 PM","168213"
"11/12/2023 12:06:00 PM","168198"
"11/12/2023 12:07:00 PM","168316"
"11/12/2023 12:08:00 PM","168438"
"11/12/2023 12:09:00 PM","168403"
"11/12/2023 12:10:00 PM","168426"
"11/12/2023 12:11:00 PM","168524"
"11/12/2023 12:12:00 PM","168618"
"11/12/2023 12:13:00 PM","168700"
"11/12/2023 12:14:00 PM","168786"
"11/12/2023 12:15:00 PM","168800"
"11/12/2023 12:16:00 PM","168668"
"11/12/2023 12:17:00 PM","168859"
"11/12/2023 12:18:00 PM","168910"
"11/12/2023 12:19:00 PM","168932"
"11/12/2023 12:20:00 PM","169000"
"11/12/2023 12:21:00 PM","169016"
"11/12/2023 12:22:00 PM","169173"
"11/12/2023 12:23:00 PM","169081"
"11/12/2023 12:24:00 PM","169153"
"11/12/2023 12:25:00 PM","169274"
"11/12/2023 12:26:00 PM","169355"
"11/12/2023 12:27:00 PM","169314"
"11/12/2023 12:28:00 PM","169527"
"11/12/2023 12:29:00 PM","169528"
"11/12/2023 12:30:00 PM","169452"
"11/12/2023 12:31:00 PM","169754"
"11/12/2023 12:32:00 PM","169760"
